Designator,Mid X,Mid Y,Layer,Rotation
C1,16.2268mm,47.5904mm,Bottom,90
C2,18.2270mm,4.4795mm,Bottom,270
C3,51.2268mm,47.5904mm,Bottom,90
C4,53.2430mm,4.4795mm,Bottom,270
J1,73.8570mm,26.2118mm,Top,90
J2,2.7754mm,36.1332mm,Top,270
J3,31.6592mm,36.1857mm,Top,270
J4,2.7754mm,26.2059mm,Top,270
J5,31.6592mm,26.1988mm,Top,270
J6,2.7754mm,16.2059mm,Top,270
J7,31.6592mm,16.1909mm,Top,270
J8,37.7755mm,36.1331mm,Top,270
J9,66.6592mm,36.1909mm,Top,270
J10,37.7755mm,26.1859mm,Top,270
J11,66.6592mm,26.1909mm,Top,270
J12,37.7755mm,16.1859mm,Top,270
J13,66.6592mm,16.1909mm,Top,270
LED1,13.0638mm,36.1810mm,Top,180
LED2,23.0638mm,36.1810mm,Top,180
LED3,13.0638mm,26.1810mm,Top,180
LED4,23.0638mm,26.1810mm,Top,180
LED5,13.0638mm,16.1810mm,Top,180
LED6,23.0638mm,16.1810mm,Top,180
LED7,48.0638mm,36.1810mm,Top,180
LED8,58.0638mm,36.1810mm,Top,180
LED9,48.0638mm,26.1810mm,Top,180
LED10,58.0638mm,26.1810mm,Top,180
LED11,48.0638mm,16.1810mm,Top,180
LED12,58.0638mm,16.1810mm,Top,180
R1,9.2598mm,47.5904mm,Bottom,270
R2,20.1197mm,5.3685mm,Bottom,90
R3,12.4010mm,47.5904mm,Bottom,270
R4,22.0755mm,4.6954mm,Bottom,90
R5,21.8751mm,47.5904mm,Bottom,90
R6,18.2430mm,48.0476mm,Bottom,270
R7,12.4005mm,4.7716mm,Bottom,270
R8,16.2106mm,4.7717mm,Bottom,90
R9,20.4527mm,47.5904mm,Bottom,90
R10,14.0008mm,4.7717mm,Bottom,270
R11,44.2598mm,47.5904mm,Bottom,270
R12,55.1197mm,5.3685mm,Bottom,90
R13,47.4010mm,47.5904mm,Bottom,270
R14,56.8752mm,47.5904mm,Bottom,90
R15,53.2430mm,48.0476mm,Bottom,270
R16,47.4010mm,4.7716mm,Bottom,270
R17,51.2105mm,4.7716mm,Bottom,90
R18,55.4528mm,47.5904mm,Bottom,90
R19,49.0008mm,4.7717mm,Bottom,270
R20,5.8140mm,33.5932mm,Bottom,0
R21,28.5352mm,33.6457mm,Bottom,180
R22,5.8140mm,23.6659mm,Bottom,0
R23,28.5352mm,23.6588mm,Bottom,180
R24,5.8140mm,13.6659mm,Bottom,0
R25,28.5352mm,13.6509mm,Bottom,180
R26,40.9093mm,33.6457mm,Bottom,0
R27,63.5070mm,33.6509mm,Bottom,180
R28,40.9093mm,23.6459mm,Bottom,0
R29,63.5070mm,23.6509mm,Bottom,180
R30,40.9093mm,13.6459mm,Bottom,0
R31,63.5070mm,13.6509mm,Bottom,180
TP13,57.0524mm,3.0344mm,Top,270
U1,17.2268mm,46.5776mm,Top,90
U2,17.2267mm,5.7844mm,Top,270
U3,52.2268mm,46.5776mm,Top,90
U4,52.2267mm,5.7844mm,Top,270
