Altium Designer Pick and Place Locations
E:\aSim Data\GitHub\stephenlong-ledpcbs\Design-Files\LED_PCB_v1.0\Project Outputs for LED_PCB_v1.0\Pick Place for LED_PCB_v1.0.csv

========================================================================================================================
File Design Information:

Date:       02/05/25
Time:       03:49
Revision:   3c37f2cc753c4352561cd399d362ad0cbb6616cc
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"C1","16.2268mm","47.5904mm","BottomLayer","90","16.2268mm","47.5904mm","16.2268mm","46.8284mm"
"C2","18.2270mm","4.4795mm","BottomLayer","270","18.2270mm","4.4795mm","18.2270mm","5.2415mm"
"C3","51.2268mm","47.5904mm","BottomLayer","90","51.2268mm","47.5904mm","51.2268mm","46.8284mm"
"C4","53.2430mm","4.4795mm","BottomLayer","270","53.2430mm","4.4795mm","53.2430mm","5.2415mm"
"J1","73.8570mm","26.2118mm","TopLayer","90","73.8570mm","22.4018mm","73.8570mm","22.4018mm"
"J2","2.7754mm","36.1332mm","TopLayer","270","2.7754mm","38.6732mm","2.7754mm","38.6732mm"
"J3","31.6592mm","36.1857mm","TopLayer","270","31.6592mm","38.7257mm","31.6592mm","38.7257mm"
"J4","2.7754mm","26.2059mm","TopLayer","270","2.7754mm","28.7459mm","2.7754mm","28.7459mm"
"J5","31.6592mm","26.1988mm","TopLayer","270","31.6592mm","28.7388mm","31.6592mm","28.7388mm"
"J6","2.7754mm","16.2059mm","TopLayer","270","2.7754mm","18.7459mm","2.7754mm","18.7459mm"
"J7","31.6592mm","16.1909mm","TopLayer","270","31.6592mm","18.7309mm","31.6592mm","18.7309mm"
"J8","37.7755mm","36.1331mm","TopLayer","270","37.7755mm","38.6731mm","37.7755mm","38.6731mm"
"J9","66.6592mm","36.1909mm","TopLayer","270","66.6592mm","38.7309mm","66.6592mm","38.7309mm"
"J10","37.7755mm","26.1859mm","TopLayer","270","37.7755mm","28.7259mm","37.7755mm","28.7259mm"
"J11","66.6592mm","26.1909mm","TopLayer","270","66.6592mm","28.7309mm","66.6592mm","28.7309mm"
"J12","37.7755mm","16.1859mm","TopLayer","270","37.7755mm","18.7259mm","37.7755mm","18.7259mm"
"J13","66.6592mm","16.1909mm","TopLayer","270","66.6592mm","18.7309mm","66.6592mm","18.7309mm"
"LED1","13.0638mm","36.1810mm","TopLayer","180","12.8098mm","36.1810mm","14.2613mm","36.1762mm"
"LED2","23.0638mm","36.1810mm","TopLayer","180","22.8098mm","36.1810mm","24.2613mm","36.1762mm"
"LED3","13.0638mm","26.1810mm","TopLayer","180","12.8098mm","26.1810mm","14.2613mm","26.1762mm"
"LED4","23.0638mm","26.1810mm","TopLayer","180","22.8098mm","26.1810mm","24.2613mm","26.1762mm"
"LED5","13.0638mm","16.1810mm","TopLayer","180","12.8098mm","16.1810mm","14.2613mm","16.1762mm"
"LED6","23.0638mm","16.1810mm","TopLayer","180","22.8098mm","16.1810mm","24.2613mm","16.1762mm"
"LED7","48.0638mm","36.1810mm","TopLayer","180","47.8098mm","36.1810mm","49.2613mm","36.1762mm"
"LED8","58.0638mm","36.1810mm","TopLayer","180","57.8098mm","36.1810mm","59.2613mm","36.1762mm"
"LED9","48.0638mm","26.1810mm","TopLayer","180","47.8098mm","26.1810mm","49.2613mm","26.1762mm"
"LED10","58.0638mm","26.1810mm","TopLayer","180","57.8098mm","26.1810mm","59.2613mm","26.1762mm"
"LED11","48.0638mm","16.1810mm","TopLayer","180","47.8098mm","16.1810mm","49.2613mm","16.1762mm"
"LED12","58.0638mm","16.1810mm","TopLayer","180","57.8098mm","16.1810mm","59.2613mm","16.1762mm"
"R1","9.2598mm","47.5904mm","BottomLayer","270","9.2598mm","47.5904mm","9.2598mm","48.8604mm"
"R2","20.1197mm","5.3685mm","BottomLayer","90","20.1197mm","5.3685mm","20.1197mm","4.0985mm"
"R3","12.4010mm","47.5904mm","BottomLayer","270","12.4010mm","47.5904mm","12.4010mm","48.3524mm"
"R4","22.0755mm","4.6954mm","BottomLayer","90","22.0755mm","4.6954mm","22.0755mm","3.9334mm"
"R5","21.8751mm","47.5904mm","BottomLayer","90","21.8751mm","47.5904mm","21.8751mm","46.8284mm"
"R6","18.2430mm","48.0476mm","BottomLayer","270","18.2430mm","48.0476mm","18.2430mm","48.5175mm"
"R7","12.4005mm","4.7716mm","BottomLayer","270","12.4005mm","4.7716mm","12.4005mm","5.5336mm"
"R8","16.2106mm","4.7717mm","BottomLayer","90","16.2106mm","4.7717mm","16.2106mm","4.3018mm"
"R9","20.4527mm","47.5904mm","BottomLayer","90","20.4527mm","47.5904mm","20.4527mm","46.8284mm"
"R10","14.0008mm","4.7717mm","BottomLayer","270","14.0008mm","4.7717mm","14.0008mm","5.5337mm"
"R11","44.2598mm","47.5904mm","BottomLayer","270","44.2598mm","47.5904mm","44.2598mm","48.8604mm"
"R12","55.1197mm","5.3685mm","BottomLayer","90","55.1197mm","5.3685mm","55.1197mm","4.0985mm"
"R13","47.4010mm","47.5904mm","BottomLayer","270","47.4010mm","47.5904mm","47.4010mm","48.3524mm"
"R14","56.8752mm","47.5904mm","BottomLayer","90","56.8752mm","47.5904mm","56.8752mm","46.8284mm"
"R15","53.2430mm","48.0476mm","BottomLayer","270","53.2430mm","48.0476mm","53.2430mm","48.5175mm"
"R16","47.4010mm","4.7716mm","BottomLayer","270","47.4010mm","4.7716mm","47.4010mm","5.5336mm"
"R17","51.2105mm","4.7716mm","BottomLayer","90","51.2105mm","4.7716mm","51.2105mm","4.3017mm"
"R18","55.4528mm","47.5904mm","BottomLayer","90","55.4528mm","47.5904mm","55.4528mm","46.8284mm"
"R19","49.0008mm","4.7717mm","BottomLayer","270","49.0008mm","4.7717mm","49.0008mm","5.5337mm"
"R20","5.8140mm","33.5932mm","BottomLayer","0","5.8140mm","33.5932mm","5.0520mm","33.5932mm"
"R21","28.5352mm","33.6457mm","BottomLayer","180","28.5352mm","33.6457mm","29.2972mm","33.6457mm"
"R22","5.8140mm","23.6659mm","BottomLayer","0","5.8140mm","23.6659mm","5.0520mm","23.6659mm"
"R23","28.5352mm","23.6588mm","BottomLayer","180","28.5352mm","23.6588mm","29.2972mm","23.6588mm"
"R24","5.8140mm","13.6659mm","BottomLayer","0","5.8140mm","13.6659mm","5.0520mm","13.6659mm"
"R25","28.5352mm","13.6509mm","BottomLayer","180","28.5352mm","13.6509mm","29.2972mm","13.6509mm"
"R26","40.9093mm","33.6457mm","BottomLayer","0","40.9093mm","33.6457mm","40.1473mm","33.6457mm"
"R27","63.5070mm","33.6509mm","BottomLayer","180","63.5070mm","33.6509mm","64.2690mm","33.6509mm"
"R28","40.9093mm","23.6459mm","BottomLayer","0","40.9093mm","23.6459mm","40.1473mm","23.6459mm"
"R29","63.5070mm","23.6509mm","BottomLayer","180","63.5070mm","23.6509mm","64.2690mm","23.6509mm"
"R30","40.9093mm","13.6459mm","BottomLayer","0","40.9093mm","13.6459mm","40.1473mm","13.6459mm"
"R31","63.5070mm","13.6509mm","BottomLayer","180","63.5070mm","13.6509mm","64.2690mm","13.6509mm"
"TP13","57.0524mm","3.0344mm","TopLayer","270","57.0524mm","3.0344mm","57.0524mm","3.0344mm"
